group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
716,7,-83.826965,45.42936,2023-04-01 06:00:00,273,POINT (-83.82696533203125 45.429359436035156),147,35751,15,Emergent Wetland,3362.35498772,246.160206947,45.4294470086,-83.826944295
720,7,-83.54541,45.356728,2023-05-02 18:00:00,277,POINT (-83.54541015625 45.356727600097656),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
7200,72,-82.59827,43.594227,2023-06-04 18:00:00,2820,POINT (-82.5982666015625 43.5942268371582),4248,972591,18,Phragmites,143013.499017,2215.47665704,43.5948752796,-82.597783221
7202,72,-82.59628,43.62381,2023-01-01 06:00:00,2822,POINT (-82.59628295898438 43.623809814453125),4149,936755,18,Phragmites,398755.477836,4512.51881403,43.6241101544,-82.5976054687
7203,72,-82.60712,43.70849,2023-01-05 00:00:00,2823,POINT (-82.60711669921875 43.70848846435547),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7204,72,-82.60458,43.654705,2023-03-04 00:00:00,2824,POINT (-82.60458374023438 43.65470504760742),4053,904071,18,Phragmites,706653.141468,7549.95453676,43.6517587712,-82.6043646101
7205,72,-82.605255,43.710407,2023-01-04 18:00:00,2825,POINT (-82.60525512695312 43.71040725708008),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7206,72,-82.59042,43.571774,2023-06-04 18:00:00,2826,POINT (-82.59042358398438 43.571773529052734),4254,999005,18,Phragmites,437454.328738,7139.97608327,43.5747396119,-82.5915447015
7207,72,-82.66101,43.872143,2023-09-28 00:00:00,2827,POINT (-82.6610107421875 43.87214279174805),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
7208,72,-82.607666,43.7091,2023-01-05 06:00:00,2828,POINT (-82.607666015625 43.70909881591797),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7209,72,-82.60654,43.712418,2023-09-27 06:00:00,2829,POINT (-82.60653686523438 43.71241760253906),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
721,7,-83.816315,45.425777,2023-01-01 06:00:00,278,POINT (-83.81631469726562 45.425777435302734),157,37284,15,Emergent Wetland,21855.4949205,737.896520305,45.4258206464,-83.8166103711
7211,72,-82.60611,43.70454,2023-01-05 06:00:00,2831,POINT (-82.60610961914062 43.70454025268555),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7212,72,-82.604706,43.655373,2023-03-04 00:00:00,2832,POINT (-82.60470581054688 43.655372619628906),4053,904071,18,Phragmites,706653.141468,7549.95453676,43.6517587712,-82.6043646101
7213,72,-82.60751,43.7127,2023-01-04 18:00:00,2833,POINT (-82.60751342773438 43.71269989013672),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7214,72,-82.60437,43.710655,2023-07-02 00:00:00,2834,POINT (-82.6043701171875 43.710655212402344),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7215,72,-82.60251,43.64056,2023-01-01 00:00:00,2835,POINT (-82.60250854492188 43.640560150146484),4107,916496,18,Phragmites,331454.344258,4431.16929931,43.6417121994,-82.6017809001
7217,72,-82.60251,43.63656,2023-01-01 00:00:00,2837,POINT (-82.60250854492188 43.636558532714844),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
7218,72,-82.60251,43.644558,2023-01-01 00:00:00,2838,POINT (-82.60250854492188 43.64455795288086),4092,912049,18,Phragmites,240598.790255,3200.71620216,43.6450402327,-82.6022229726
7219,72,-82.610016,43.736378,2023-07-19 18:00:00,2839,POINT (-82.61001586914062 43.73637771606445),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
7220,72,-82.606964,43.711002,2023-01-05 06:00:00,2840,POINT (-82.60696411132812 43.711002349853516),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7221,72,-82.59851,43.61356,2023-03-03 18:00:00,2841,POINT (-82.5985107421875 43.61355972290039),4199,953078,18,Phragmites,417262.682407,5743.35663478,43.6128081128,-82.5993528893
7222,72,-82.60693,43.70327,2023-01-05 00:00:00,2842,POINT (-82.60693359375 43.703269958496094),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7223,72,-82.60651,43.708817,2023-01-04 18:00:00,2843,POINT (-82.60650634765625 43.70881652832031),3627,850089,18,Phragmites,2261287.54921,18627.1010691,43.7057323063,-82.6078672289
7224,72,-82.60556,43.68075,2023-01-04 06:00:00,2844,POINT (-82.60556030273438 43.68075180053711),3987,882381,18,Phragmites,2611251.22453,26671.6532135,43.6681263306,-82.6049517939
